Name,Type,Diet,Era,Image
Aardonyx,Sauropod,Herbivore,Early Jurassic,None
Abelisaurus,Large Theropod,Carnivore,Late Cretaceous,
Achelousaurus,Ceratopsian,Herbivore,Late Cretaceous,
Achillobator,Large Theropod,Carnivore,Late Cretaceous,
Acrocanthosaurus,Large Theropod,Carnivore,Early Cretaceous,
Aegyptosaurus,Sauropod,Herbivore,Late Cretaceous,
Afrovenator,Large Theropod,Carnivore,Early Cretaceous,
Agilisaurus,Euornithopod,Herbivore,Late Jurassic,
Alamosaurus,Sauropod,Herbivore,Late Cretaceous,
Albertaceratops,Ceratopsian,Herbivore,Late Cretaceous,
Albertosaurus,Large Theropod,Carnivore,Late Cretaceous,
Alectrosaurus,Large Theropod,Carnivore,Late Cretaceous,
Alioramus,Large Theropod,Carnivore,Late Cretaceous,
Allosaurus,Large Theropod,Carnivore,Late Jurassic,
Alverezsaurus,Small Theropod,Carnivore,Late Cretaceous,
Amargasaurus,Sauropod,Herbivore,Early Cretaceous,
Ammosaurus,Sauropod,Herbivore,Early Jurassic,
Ampelosaurus,Sauropod,Herbivore,Late Cretaceous,
Amygdalodon,Sauropod,Herbivore,Mid Jurassic,
Anchiceratops,Ceratopsian,Herbivore,Late Cretaceous,
Anchisaurus,Sauropod,Herbivore,Early Jurassic,
Ankylosaurus,Armored Dinosaur,Herbivore,Late Cretaceous,
Anserimimus,Large Theropod,Carnivore,Late Cretaceous,
Antarctosaurus,Sauropod,Herbivore,Late Cretaceous,
Apatosaurus,Sauropod,Herbivore,Late Jurassic,
Aragosaurus,Sauropod,Herbivore,Early Cretaceous,
Aralosaurus,Euornithopod,Herbivore,Late Cretaceous,
Archaeoceratops,Ceratopsian,Herbivore,Early Cretaceous,
Archaeopteryx,Small Theropod,Carnivore,Late Jurassic,
Archaeornithomimus,Small Theropod,Carnivore,Late Cretaceous,
Argentinosaurus,Sauropod,Herbivore,Late Cretaceous,
Arrhinoceratops,Ceratopsian,Herbivore,Late Cretaceous,
Atlascopcosaurus,Euornithopod,Herbivore,Early Cretaceous,
Aucasaurus,Large Theropod,Carnivore,Late Cretaceous,
Austrosaurus,Sauropod,Herbivore,Early Cretaceous,
Avaceratops,Ceratopsian,Herbivore,Late Cretaceous,
Avimimus,Small Theropod,Omnivore,Late Cretaceous,
Bactrosaurus,Euornithopod,Herbivore,Late Cretaceous,
Bagaceratops,Ceratopsian,Herbivore,Late Cretaceous,
Bambiraptor,Small Theropod,Carnivore,Late Cretaceous,
Barapasaurus,Sauropod,Herbivore,Early Jurassic,
Barosaurus,Sauropod,Herbivore,Late Jurassic,
Baryonyx,Large Theropod,Carnivore,Early Cretaceous,
Becklespinax,Large Theropod,Carnivore,Early Cretaceous,
Beipiaosaurus,Small Theropod,Omnivore,Early Cretaceous,
Bellusaurus,Sauropod,Herbivore,Mid Jurassic,
Borogovia,Small Theropod,Carnivore,Late Cretaceous,
Brachiosaurus,Sauropod,Herbivore,Late Jurassic,
Brachylophosaurus,Euornithopod,Herbivore,Late Cretaceous,
Brachytrachelopan,Sauropod,Herbivore,Mid Jurassic,
Buitreraptor,Small Theropod,Carnivore,Late Cretaceous,
Camarasaurus,Sauropod,Herbivore,Late Jurassic,
Camptosaurus,Euornithopod,Herbivore,Late Jurassic,
Carcharodontosaurus,Large Theropod,Carnivore,Late Cretaceous,
Carnotaurus,Large Theropod,Carnivore,Late Cretaceous,
Caudipteryx,Small Theropod,Omnivore,Early Cretaceous,
Cedarpelta,Armored Dinosaur,Herbivore,Early Cretaceous,
Centrosaurus,Ceratopsian,Herbivore,Late Cretaceous,
Ceratosaurus,Large Theropod,Carnivore,Late Jurassic,
Cetiosauriscus,Sauropod,Herbivore,Mid Jurassic,
Cetiosaurus,Sauropod,Herbivore,Mid Jurassic,
